model,search_best_roc_auc,accuracy,balanced_accuracy,f1,roc_auc,sharpe,cagr,profit_factor,max_drawdown,average_absolute_position,trade_count,signal_upper_threshold,signal_lower_threshold,best_parameters,selection_eligible,cv_rank
xgboost,0.5251170649258179,0.5211356466876972,0.5194479547615856,0.5484830458060678,0.5269847652236072,0.6531809018544126,0.23521885714402213,1.1604736761663723,-0.6148215125606691,0.5009463722397476,794,0.7541481852531433,0.2839876115322113,"{'selector__k': 10, 'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 500, 'model__max_depth': 4, 'model__learning_rate': 0.08, 'model__colsample_bytree': 1.0}",True,1
logistic_regression,0.5197179918658891,0.510410094637224,0.5094858342747366,0.5308343409915357,0.5230212980514549,0.5175698948447286,0.16469839094428274,1.1264356572540752,-0.6693268590302275,0.5009463722397476,794,0.5254259704464262,0.4782098716844154,"{'selector__k': 5, 'model__C': 1.0}",True,2
random_forest,0.5254731788156433,0.5186119873817034,0.5201803345651355,0.5137029955385596,0.5251035543556654,0.04726023275713592,-0.05703093326821185,1.019755454847341,-0.6434491927216025,0.5009463722397476,794,0.5340924513889763,0.4598292432328297,"{'selector__k': 16, 'model__min_samples_leaf': 4, 'model__max_features': 0.7, 'model__max_depth': 3}",True,3
support_vector_machine,0.524486182841765,0.5167192429022082,0.4964146897198767,0.6698275862068965,0.5119909242345914,-0.7202990412495366,-0.2781724916489484,0.867648765071627,-0.8087621719721902,0.5028391167192429,797,0.5406058625442618,0.5206058625442618,"{'selector__k': 18, 'model__gamma': 0.1, 'model__C': 1.0}",True,4
