metric,value
annualized_return,0.5292579349953954
annualized_volatility,0.245249420178012
sharpe_ratio,1.7720411479890013
sortino_ratio,3.558454340115824
calmar_ratio,2.780840794646615
max_drawdown,-0.19032299008784237
value_at_risk_5pct,-0.016504615059159594
conditional_value_at_risk_5pct,-0.024418680354840485
beta_to_benchmark,-0.049581644985595585
alpha_to_benchmark,0.496312706142282
covariance_with_benchmark,-2.7786413984896437e-05
correlation_with_benchmark,-0.09133947016165468
