date,btc_close,target,target_return,btc_return_1d,btc_return_5d,btc_return_21d,btc_volatility_7d,btc_volatility_21d,btc_ma_gap_7_21,btc_price_zscore_21d,btc_drawdown_30d,btc_rsi_14,btc_momentum_10d,fear_greed_index,fear_greed_change_1d,fear_greed_zscore_21d,funding_rate_daily,funding_rate_mean_7d,funding_rate_abs_mean_7d,spx_return_1d,spx_return_5d,vix_level,vix_change_1d,vix_zscore_21d,gold_return_5d,gold_btc_ratio,usd_index_return_5d,usd_index_zscore_21d,active_addresses_change_7d,active_addresses_zscore_30d,transaction_count_change_7d,hash_rate_change_7d,hash_rate_zscore_30d,mvrv_level,onchain_roi_30d,fee_per_transaction_usd
2019-09-16,10257.822761543,0,-0.006064793846471406,-0.004691064426739722,0.011405345345020912,-0.010115248207846927,0.014967336560343391,0.022414644877294283,0.008267975275328743,0.2000874523755751,-0.05758643388423379,46.2805908233529,-0.007068825078946128,38.0,0.0,0.3574836446539069,0.0001,0.0001,0.0001,-0.0031355866640028207,-0.0009896834550553457,14.670000076293945,0.06768561285791774,-0.8080102150804186,0.002056360685188219,0.013776803383075917,0.0,0.5471799311756392,0.013069585341481504,0.7961657213164526,0.10357515080693558,0.23237285566321297,1.6710980226859897,1.79436332,0.4963890241226193,0.8674789842297498
2019-09-17,10195.6111811806,0,-0.003363438848226985,-0.006064793846471406,-0.019969393559413295,0.002693647982942693,0.011546312591373509,0.0220586715834404,0.009676396825534672,0.01858850041565858,-0.06330197788084391,35.17705414564689,-0.02848116493237407,41.0,3.0,0.6779862226194794,0.0001,0.0001,0.0001,0.0025817523700197853,-0.0012859368945046246,14.4399995803833,-0.015678288664927487,-0.8342593558501926,0.0019813102518067005,0.013888329359291933,-0.0005085487092346686,-0.9234239499242632,-0.037468981094712084,0.7306151466519635,0.015983452980558477,-0.10236928924793842,0.6329462191219936,1.78283665,-1.3134713329823824,1.0260721450345807
2019-09-18,10161.3188664524,1,0.010537388317308327,-0.003363438848226985,-0.017787709516402184,0.044887184245763656,0.011528255397860404,0.01966646792527322,0.007889006278303912,-0.14563065934312083,-0.0566383148463625,35.35658713311523,-0.023632219935327492,38.0,-3.0,0.25386096608882686,0.0001,0.0001,0.0001,0.00034269198975556137,-0.00021943018130221592,13.949999809265137,-0.033933503141082344,-0.9730688099854209,0.003995810501400632,0.013847612555336822,0.003460170267646001,0.28876955856816044,0.09153134766247839,1.5420708981271332,0.0746099062343426,0.0438516946275076,2.1938388698302234,1.77473473,-6.645250439749678,0.9556039991822493
2019-09-19,10268.3926291642,0,-0.009569902182567702,0.010537388317308327,-0.009172644301541077,0.08289971013255215,0.006082160010512177,0.018712875064374766,0.002325722860730517,0.07291248229473372,-0.03299708883617658,39.77260426248563,-0.006201019478371705,31.0,-7.0,-0.8104623351843684,0.0001,0.0001,0.0001,1.997472142156731e-05,-0.00019945984293734398,14.050000190734863,0.0071684862248750925,-0.8406103897963442,0.008062825059037326,0.013758725818297466,0.00010171490554289342,-0.920642300133187,-0.032307783664663026,0.13626554350912135,0.02511348854495732,0.033979679473894686,0.4658394141491211,1.79282081,-4.669774644622837,1.0831616988943333
2019-09-20,10170.1251161309,0,-0.01806457697512509,-0.009569902182567702,-0.01320030192640087,0.061856980543400164,0.006650817432905557,0.018882655172678918,-0.002862118661830837,-0.4284756817729824,-0.042251212106272584,44.1479395993838,0.008345587253364872,41.0,10.0,0.5747589485725768,0.0001,0.0001,0.0001,-0.0048955765157830955,-0.005094059887797542,15.319999694824219,0.09039142255149901,-0.15685564439012425,0.01997861700818837,0.014055873975582493,0.0025442702479629986,0.06338283594965549,-0.021505517984493294,0.26398091522476524,0.13765085159748391,0.08859352502024254,0.6108634448666227,1.77523927,0.7259198249377173,0.9534848328377813
2019-09-21,9986.4061081239,1,0.006068986789481423,-0.01806457697512509,-0.02645947972864704,0.039706473234864204,0.008531597535202948,0.01943597422142815,-0.00985405447276011,-1.501606701130504,-0.05955253880801159,31.766184885370762,-0.015355913887580952,37.0,-4.0,-0.24370708772147656,0.0001,0.0001,0.0001,0.0,-0.0019646335024045003,15.319999694824219,0.0,-0.07349742439067647,0.011534032971594055,0.014314458615092066,-0.0014191524326708782,0.15448513372175565,-0.041494151208617325,-1.0312116091632955,0.07119088401040785,0.07096774193548394,1.5212643707789415,1.74318445,-1.3173140051351204,0.6912628668656506
2019-09-22,10047.0134748685,0,-0.0352614662884132,0.006068986789481423,-0.014574673717097753,0.029097486838760345,0.009535372474300485,0.01918165366747428,-0.014745427336443795,-1.4864764892321265,-0.05384497558983603,36.8199665567752,-0.034253019881054336,37.0,0.0,-0.49318634654225596,0.0001,0.0001,0.0001,0.0,-0.004534678455574315,15.319999694824219,0.0,0.02644920165292123,0.009533833238253298,0.014228108413093693,0.0025442702479629986,0.26790349019850884,0.09398593223732998,-1.166871798158745,0.1876610305211921,0.12925170068027203,1.4084707836382153,1.7535283,-3.525308384791899,0.6646977065888854
2019-09-23,9692.74104792519,0,-0.1113276207504299,-0.0352614662884132,-0.04611387800005173,-0.06597041662080771,0.015350083318875886,0.014974364796188081,-0.019476186865286294,-2.6514721254441027,-0.08720778908668791,30.568868285869044,-0.06308132724991422,41.0,4.0,0.5754510855265783,0.0001,0.0001,0.0001,-9.693591923765066e-05,-0.004972162870955366,14.90999984741211,-0.026762392661836998,-0.12780653515219736,0.0216046701803847,0.01483068610718439,0.0,0.8973688725239959,-0.0565818957942924,0.3044811873948661,-0.16675681476711746,-0.3006134969325155,-1.859726787670871,1.69241697,-4.477601305873226,1.0723647204829745
2019-09-24,8613.67124850965,0,-0.022001490030958637,-0.1113276207504299,-0.16114706949896174,-0.1888267741671915,0.04185728721734983,0.027046203034907405,-0.03248018650486717,-3.790088339624888,-0.1888267741671915,20.30120217034721,-0.16884156905175307,39.0,-2.0,-0.12309149097935469,0.0001,0.0001,0.0001,-0.008416371322106486,-0.013366394355483813,17.049999237060547,0.1435277942018136,2.1122976950883605,0.02286237086245202,0.016776817960383533,0.0007123201100582843,-0.5231095670590159,0.0803740769267367,1.4657635394314317,0.030128074811953676,0.060810810810810745,0.7614791118974813,1.5076985,-14.7191387639745,0.9566269977292627
2019-09-25,8424.15764640561,0,-0.039465352041133106,-0.022001490030958637,-0.17167610523846932,-0.20355813207222606,0.04098388975612759,0.027145655502450416,-0.047263742362096295,-2.9889847058211925,-0.20667379380873252,17.113566963437904,-0.18261023074217386,15.0,-24.0,-3.921467451955372,0.0001,0.0001,0.0001,0.006158571742003405,-0.0024063444395949762,15.960000038146973,-0.0639295746444557,1.2354785474401762,-0.007834873320025415,0.016836104900241296,0.0053801519419716115,3.1124867931122844,-0.08385824103138229,0.7655515862170917,-0.04439374890722436,-0.10344827586206884,0.6491463686127549,1.47778949,-18.70647997415948,1.0155966075802207
