metric,value
annualized_return,-0.04505193838661925
annualized_volatility,0.3449020573629816
sharpe_ratio,-0.018186733662636574
sortino_ratio,-0.025759268808989124
calmar_ratio,-0.1265114848785888
max_drawdown,-0.35610947440744156
value_at_risk_5pct,-0.026038746675099173
conditional_value_at_risk_5pct,-0.04723311896509456
beta_to_benchmark,0.29896055041383224
alpha_to_benchmark,0.013003413433276018
covariance_with_benchmark,0.00016754267877486917
correlation_with_benchmark,0.3916189019585252
