model,search_best_roc_auc,accuracy,balanced_accuracy,f1,roc_auc,sharpe,cagr,profit_factor,max_drawdown,average_absolute_position,trade_count,signal_upper_threshold,signal_lower_threshold,best_parameters,selection_eligible,cv_rank
logistic_regression,0.5193452909246379,0.5047318611987381,0.5027763417389473,0.5352279455298994,0.5173106503022065,0.396440017536334,0.10002301177475537,1.0979311640674945,-0.5681410911308356,0.5009463722397476,794,0.5283145929795389,0.4800524757868034,"{'selector__k': 5, 'model__C': 0.05}",True,1
xgboost,0.5213768480093197,0.5028391167192429,0.500035103171412,0.5413271245634459,0.5079588463183156,0.081706402151907,-0.045881334741286306,1.0269872903698585,-0.7693133607376329,0.5009463722397476,794,0.6326084136962891,0.41218310594558716,"{'selector__k': 12, 'model__subsample': 0.85, 'model__reg_lambda': 0.5, 'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",True,2
random_forest,0.5258385466872286,0.5085173501577287,0.5090159304574262,0.5146417445482866,0.5236946407030846,-0.05424889358459352,-0.10535505804830636,0.9976017314567325,-0.638490142936647,0.5009463722397476,794,0.5279761118457516,0.46847989170904536,"{'selector__k': 18, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 3}",True,3
support_vector_machine,0.5400856596971069,0.510410094637224,0.4915481136832162,0.6581497797356828,0.5004603302251072,-0.31870541132250385,-0.21886560755697382,0.9438931471500661,-0.8124627231130122,0.5009463722397476,794,0.5352221279140986,0.5071603239930135,"{'selector__k': 18, 'model__gamma': 'scale', 'model__C': 2.0}",True,4
